skz,name,street,zip,city,phone,email,website,principal,school_type
301016,"Bundesgymnasium und Bundesrealgymnasium Krems, Piaristengasse",Piaristengasse 2,3500,Krems/Donau,02732/83300-0,bg.krems-piaristen@noeschule.at,www.piakrems.ac.at,,Gymnázium
301447,Höhere technische Bundeslehranstalt Krems,Alauntalstraße 29,3500,Krems/Donau,02732/83190-0,htl.krems@noeschule.at,www.htlkrems.ac.at,,Technická odborná škola
301469,Höhere gewerbliche Bundeslehranstalt für Tourismus Krems,Langenloiserstraße 22,3500,Krems/Donau,02732/880-115,hlt.krems@noeschule.at,www.hlfkrems.ac.at,,Učiliště
301710,Landwirtschaftliche Fachschule Krems,Wiener Straße 101,3500,Krems/Donau,02732/87516,,,,Učiliště
302015,Landesberufsschule St. Pölten,Hötzendorfstraße 8,3100,St. Pölten,02742/73210,direktion@lbsstpoelten.ac.at,www.lbsstpoelten.ac.at,,Učiliště
302016,"Bundesgymnasium und Bundesrealgymnasium St. Pölten, Josefstrasse",Josefstraße 84,3100,St. Pölten,02742/72959-0,bg.stpoelten@noeschule.at,www.bgstpoelten.ac.at,,Gymnázium
301056,"Bundesgymnasium Krems, Rechte Kremszeile",Rechte Kremszeile 54,3500,Krems/Donau,02732/82471-0,bg.krems-kremszeile@noeschule.at,www.bg-kremszeile.ac.at,,Gymnázium
302026,"Bundesrealgymnasium und Bundesoberstufenrealgymnasium St. Pölten, Schulring",Schulring 16,3100,St. Pölten,02742/72055,brg.stpoelten@noeschule.at,www.borgstpoelten.ac.at,,Gymnázium
302036,"MARY WARD Privatgymnasium und Oberstufenrealgymnasium der Vereinigung von Ordensschulen Österreichs, St. Pölten",Schneckgasse 3,3100,St. Pölten,02742/72656-0,gym.stpoelten@noeschule.at,www.privatgymstpoelten.ac.at,,Gymnázium
302418,Bundeshandelsakademie und Bundeshandelsschule St. Pölten,"Waldstraße 1,  Postfach 332",3100,St. Pölten,02742/71840,hak.stpoelten@noeschule.at,www.hakstpoelten.ac.at,,Učiliště
302467,Höhere technische Bundeslehr- und Versuchsanstalt St. Pölten,Waldstraße 3,3100,St. Pölten,02742/75051-0,htl.stpoelten@noeschule.at,www.htlstp.ac.at,,Technická odborná škola
302479,Bildungszentrum für Gesundheits- und Sozialberufe der Caritas der Diözese St. Pölten,Parkpromenade 10,3100,St. Pölten,02742/353550,fsb.stpoelten@noeschule.at,www.bigs.ac.at,,Učiliště
