skz,name,street,zip,city,phone,email,website,principal,school_type
1213,"Bildungsanstalt für Elementarpädagogik Maria Regina und Fachschule für pädagogische Assistenzberufe, Kolleg und Aufbaulehrgang",Hofzeile 17,1190,Wien,01/3687521-50,,www.mariaregina-clarafey.at/bafep,Mag. Karin Hochmeister,"LMS und LHS, Sonstige Bildungseinrichtung, Sekundarbildung Oberstufe, Kindergarten"
3303,Stadt Wien - Modeschule Hetzendorf,Hetzendorfer Straße 79,1120,Wien,+43-1-4000-85710,,www.modeschule.wien.at,MMag. Monika Kycelt,"WMS und WHS, Sekundarbildung Oberstufe"
601,Höhere Bundeslehr- und Versuchsanstalt für chemische Industrie Wien,Rosensteingasse 79/Eingang Gschwandnergasse 62,1170,Wien,01/4861480 01/4861489,,www.hblva17.ac.at,Ing. Mag. Dr. Annemarie KARGLMAYER,"TMS und THS, Sekundarbildung Oberstufe"
4078,Höhere Bundeslehranstalt für Tourismus Wien,Wassermanngasse 12,1210,Wien,01/2582890,,www.wassermanngasse.at,Mag. Andreas Hübner,"Kaufmännische Schule, TMS und THS, WMS und WHS, Berufsschule, Sekundarbildung Oberstufe"
3764,Kunstschule Wien,Lazarettgasse 27,1090,Wien,+43 1 677 616 026 40,,www.kunstschule.wien,"Mag.a art. Eliane Huber-Irikawa, MFA","Berufsschule, Sonstige Bildungseinrichtung"
959,Walz Wiener Lernzentrum - Private Oberstufe mit Öffentlichkeitsrecht,Heinrich Collin-Straße 9,1140,Wien,01/8042939,,www.walz.at,Renate Chorherr,"AHS, Sekundarbildung Oberstufe"
3897,"kaufmännische Schulen des BFI Wien, Handelsakademie, Handelsschule, Aufbaulehrgang, Schule für IT, Handelsakademie und Handelsschule für Berufstätige des BFI Wien",Margaretenstraße 65,1050,Wien,01/5879650,,www.schulenbfi.at,Mag. Johann Karner,Kaufmännische Schule
1497,Vienna Business School Schönborngasse,Schönborngasse 3-5,1080,Wien,01/406 45 14,,www.schoenborngasse.vbs.ac.at,"Hofrätin Mag. Eveline Grubner, MA","Kaufmännische Schule, Sekundarbildung Oberstufe"
4904,Gymnasium und Oberstufenrealgymnasium St. Ursula Wien,Franz-Asenbauer-Gasse 49,1230,Wien,+43 (1) 888 21 25 - 26,,st-ursula-wien.at/gym-org/,,"AHS, Sekundarbildung Oberstufe, Sekundarbildung Unterstufe"
177,Handelsschule und Handelsakademie-Aufbaulehrgang des Schulverbundes SSND Österreich,Friesgasse 4,1150,Wien,01/8936550-17,,www.schulefriesgasse.ac.at,Dir. Mag. Ingrid Aubauer,"Kaufmännische Schule, Sekundarbildung Oberstufe"
3856,Freie Waldorfschule Wien-West,Seuttergasse 29,1130,Wien,01/8766821,,fwww.at,,"AHS mit NMS, Neue Mittelschule, Volksschule, Sonstige Bildungseinrichtung, SAS, Grundbildung, Kindergarten"
3625,Evangelisches Realgymnasium Donaustadt,Maculangasse 2,1220,Wien,+43 1 255 73 59,,www.erg-donaustadt.at,Mag. Elisabeth Kapfenberger,"WMS und WHS, Musikschule, AHS, Sekundarbildung Oberstufe, Sekundarbildung Unterstufe"
5851,Bundeshandelsakademie und Bundeshandelsschule Wien 10,Pernerstorfergasse 77,1100,Wien,01/6025191,,www.bhakwien10.at,Mag. Jörg Hopfgartner,"Kaufmännische Schule, Sekundarbildung Oberstufe"
1506,American International School Vienna,Salmannsdorfer Straße 47,1190,Wien,+43140132,,www.ais.at,Dr. Kathryn Miner,"Volksschule, SAS, AHS, Sekundarbildung Oberstufe, Sekundarbildung Unterstufe, Kindergarten"
5076,Realgymnasium und Oberstufenrealgymnasium des Schulvereins De La Salle,Scheidlstraße 2,1180,Wien,01/4798494,,www.marianum.at,Mag.a Marie-Antoinette Call-Breitenecker,"AHS, Sekundarbildung Oberstufe, Sekundarbildung Unterstufe"
1026,Bundesgymnasium und Bundesrealgymnasium Wien,Radetzkystraße 2a,1030,Wien,01/7121549,,www.grg3rad.at,HR Mag. Etlinger Robert,AHS
3926,Amerlinggymnasium,Amerlingstraße 6,1060,Wien,01/5870727 01/5870174,,www.amerlinggymnasium.at,,"AHS, Sekundarbildung Oberstufe, Sekundarbildung Unterstufe"
3860,Bildungszentrum Mater Salvatoris Gymnasium und Wirtschaftskundliches Realgymnasium Wien,Kenyongasse 4-12,1070,Wien,+43 (1) 523 29 83 - 106,,www.kenyon.at/ahs,Mag. Thomas Leszkovich,"AHS, Sekundarbildung Oberstufe, Sekundarbildung Unterstufe"
3925,Höhere Bundeslehranstalt für Tourismus und Höhere Bundeslehranstalt für wirtschaftliche Berufe Wien,Firnbergplatz 1,1220,Wien,01/2584160,,www.firnbergschulen.at,,"TMS und THS, WMS und WHS, Sekundarbildung Oberstufe"
70,"Sigmund-Freud-Gymnasium, Bundesgymnasium und Bundesrealgymnasium Wien",Wohlmutstraße 3,1020,Wien,01/7280192,,www.freudgymnasium.at,Mag. Theresia Übelhör,AHS
1425,Höhere Bundeslehr- und Versuchsanstalt für Textilindustrie und Informatik,Spengergasse 20,1050,Wien,01/54615-0,,www.spengergasse.at,Dr. Gerhard Hager,"TMS und THS, Sekundarbildung Oberstufe"
2536,"business.academy.donaustadt, BHAK und BHAS Wien 22",Polgarstraße 24,1220,Wien,0043 1 20261310,,www.bhakwien22.at,OStR Mag. Peter Rak,"Kaufmännische Schule, Sekundarbildung Oberstufe"
1145,Bundesrealgymnasium Wien 5,Reinprechtsdorfer Straße 24-26,1050,Wien,01/5451274,,www.haydngym.at,,AHS
5379,Bundesgymnasium und Bundesrealgymnasium Wien 4,Wiedner Gürtel 68,1040,Wien,01/5053343,,www.wiednergymnasium.at,HR Mag. Dr. Edwin Scheiber,AHS
1543,Gymnasium und Wirtschaftskundliches Realgymnasium Maria Regina,Hofzeile 22,1190,Wien,01/3687521,,www.mariaregina-clarafey.at/ahs,"Dir. Mag. Andrea Murtinger, MA",AHS
4508,Höhere technische Bundeslehranstalt Wien,Ettenreichgasse 54,1100,Wien,01/60111,,www.htlwien10.at,Ing. Mag. Stefan Wenka,"TMS und THS, Sekundarbildung Oberstufe"
2230,Fachschule und Aufbaulehrgang für wirtschaftliche Berufe des Schulvereins der Dominikanerinnen Wien,Auhofstraße 177,1130,Wien,01/8773691/219,,www.dominikanerinnen.at/fw13,,Sekundarbildung Oberstufe
4244,PTS / FMS Wien 15,Benedikt Schellinger-Gasse 1-3,1150,Wien,01/9854568 01/9853755,,fms15.at,"OSRn Dipl. Päd. Beatrix Poppe, BEd","Polytechnische Schule, Sekundarbildung Oberstufe"
4987,Bundesrealgymnasium mit Modellversuch Neue Mittelschule Wien,Anton-Krieger-Gasse 25,1230,Wien,01/8885252,,www.antonkriegergasse.at,,"AHS mit NMS, AHS, Sekundarbildung Unterstufe"
1989,Schauspielschule Krauss Wien,Weihburggasse 9,1010,Wien,01/5124324,,www.schauspielschulekrauss.at,Michaela Krauss-Boneau,"Berufsschule, Hochschulen, Sonstige Bildungseinrichtung"
557,Bundesbildungsanstalt für Elementarpädagogik Wien,Lange Gasse 47,1080,Wien,01/4096767,,www.bafep8.at,Mag. Tilmann Schleicher,Sekundarbildung Oberstufe
5495,Tourismusschulen MODUL der Wirtschaftskammer Wien,Peter-Jordan-Straße 78,1190,Wien,01/476700,,www.modul.at,MMag. Werner SCHNABL,"WMS und WHS, Sekundarbildung Oberstufe"
1532,ibc-:hetzendorf,Kriehubergasse 24-26,1050,Wien Wien,01/8043579,,www.ibc.ac.at,Mag. Andrea Tuschl-Reisinger,"Kaufmännische Schule, Sekundarbildung Oberstufe"
2474,Schumpeter BHAK/BHAS Wien 13,Maygasse 43,1130,Wien,01/8045375,,www.bhakwien13.at,,"Kaufmännische Schule, Sekundarbildung Oberstufe"
1263,Höhere Bundeslehr- und Forschungsanstalt für Gartenbau Schönbrunn,Grünbergstraße 24,1131,Wien,01/8135950,,www.gartenbau.at,MR DI Mag. Dr. Josefa Reiter-Stelzl,"LFHS, Sekundarbildung Oberstufe"
3661,Kolleg für Sozialpädagogik der MERA Bildungsholding GmbH,Schottenfeldgasse 69,1070,Wien,01/5854090-54,,www.bildungsforum.at/standorte/wien,Dipl. Päd. Sabine Kittel,"Sozialakademie, LMS und LHS, Sozialberufliche Schule, Sekundarbildung Oberstufe"
2602,Bundesgymnasium Wien,Wasagasse 10,1090,Wien,01/3176197,,www.bg9.at,Mag. Johannes Bauer,AHS
4828,Schottengymnasium der Benediktiner in Wien,Freyung 6,1010,Wien,00431/53498-318,,www.schottengymnasium.at,Mag. Josef Harold,AHS
5228,Privates Bilinguales Realgymnasium des Schulvereins Komensky Wien,Schützengasse 31,1030,Wien,01/713 31 88-60,,www.komensky.at,Mag. Helena Huber,"AHS mit NMS, AHS"
284,Öffentliches Gymnasium der Stiftung Theresianische Akademie Wien,Favoritenstraße 15,1040,Wien,01/5051571405,,www.theresianum.ac.at,HR Mag. Andreas Schatzl,"Volksschule, AHS, Kindergarten"
336,Fachmittelschule und Polytechnische Schule,Maiselgasse 1,1030,Wien,+43 1 4000 56 40 60,,pts3.at,Irene Ditrich,"Polytechnische Schule, Sonstige Bildungseinrichtung, Sekundarbildung Oberstufe"
2524,BG RG ORG Wien 22,Polgarstraße 24,1220,Wien,01/2026141,,www.polgargym.at,,AHS
5637,Bundesgymnasium und -realgymnasium Wien 1,Stubenbastei 6-8,1010,Wien,01/5127810-12 01/5127810-17 (Konferenzzimmer 1) 01/5127810-18 (Konferenzzimmer 2),,www.stubenbastei.at,Mag. Nina Hochleitner,AHS
649,Realgymnasium und Oberstufenrealgymnasium des Vereins der Wiener Sängerknaben Wien,Obere Augartenstraße 1c,1020,Wien,01/2163942,,www.wsk-schule.at,,AHS
1045,Bundesgymnasium Wien,Diefenbachgasse 19,1150,Wien,01/8936701,,www.diefenbachymnasium.at,Mag. Helmut LANGEGGER,AHS
2183,Werbe Akademie des WIFI Wien,Währinger Gürtel 97,1180,Wien,+43 1 476 77 5251,,www.werbeakademie.at,,"Sonstige Bildungseinrichtung, Sekundarbildung Oberstufe"
4181,Mayflower Christian Academy International School Vienna,Fontanastrasse 8,1100,Wien,01/6419495,,www.internationalcampusvienna.at,,"Volksschule, AHS, Sekundarbildung Unterstufe, Grundbildung, Kindergarten"
1763,modas - dein Kolleg für Sozialpädagogik,Pfeilgasse 10-12/R 04,1080,Wien,01/4025615,,www.modas.at,,"Sozialakademie, Pädagogische Hochschulen"
2704,Bundesgymnasium Wien,Kundmanngasse 20-22,1030,Wien,01/7133718,,www.kundmanngasse.at,Mag. Marion Waldmamnn,AHS
4465,"Gymnasium, Realgymnasium und Oberstufenrealgymnasium des Schulvereins De La Salle Wien",Anton-Böck-Gasse 37,1210,Wien,01/29125-760,,www.delasalle.at,HR Mag. Günther Grafeneder,AHS
1194,Caritas Campus 22,Am langen Felde 37-39,1220,Wien,0517805030,,campus22.caritas-schule.at,,"Sozialberufliche Schule, Sonstige Bildungseinrichtung, Sekundarbildung Oberstufe"
2325,Bundesgymnasium Wien,Auf der Schmelz 4,1150,Wien,01/9820351,,www.schmelz.at,Mag. Erika Thurnher,AHS
305,Höhere Bundeslehranstalt für wirtschaftliche Berufe Wien,Reumannplatz 3,1100,Wien,01/5046165,,www.hlw10.at,Mag. Dr. Elke Hochfellner,"WMS und WHS, Sekundarbildung Oberstufe"
666,Höhere Bundeslehranstalt für Tourismus und für wirtschaftliche Berufe Wien,Bergheidengasse 5-19,1130,Wien,01/8047281,,www.bergheidengasse.at,HR Mag. Anita Petschning,"WMS und WHS, Sekundarbildung Oberstufe"
5025,PHÖNIX - Realgymnasium Wien,Knöllgasse 20-24,1100,Wien,01/2084657,,www.phoenixschulen.at,,AHS
4013,Bundes-Blindenerziehungsinstitut Wien,Wittelsbachstraße 5,1020,Wien,01/7280866,,www.bbi.at,Mag. Horst Ganitzer,"Kaufmännische Schule, Berufsschule, Polytechnische Schule, Neue Mittelschule, Sonderschule, Volksschule, Sonstige Bildungseinrichtung, Kindergarten"
1364,Höhere Bundeslehranstalt für Mode und Bekleidungstechnik und Höhere Bundeslehranstalt für wirtschaftliche Berufe Wien,Michelbeuerngasse 12,1090,Wien,01/4050416,,www.hlmw9.at,Mag. Johannes Töglhofer,"WMS und WHS, Sekundarbildung Oberstufe"
5333,Bundesrealgymnasium Wien,Linzerstraße 146,1140,Wien,01/9112577,,www.brg14.at,Mag. Andrea Ertl,AHS
1340,Bundesrealgymnasium Wien,Anton Baumgartner-Straße 123,1230,Wien,01/6671099,,www.grg23-alterlaa.ac.at,,AHS
4895,htl donaustadt,Donaustadtstraße 45,1220,Wien,01/20105-0,,www.htl-donaustadt.at,Prof. Dipl.-Ing. Kurt Stadler,"TMS und THS, Sekundarbildung Oberstufe"
2353,Montessori Schule - Statutschule des Montessori Vereins Hütteldorf Wien,Henckellgasse 19,1140,Wien,01/9116968,,www.montessoricampus.at,Barbara Stifter,"Neue Mittelschule, Volksschule, SAS, AHS, Sekundarbildung Oberstufe, Sekundarbildung Unterstufe"
1128,Bundesoberstufenrealgymnasium Wien,Erdbergstraße 186-196,1030,Wien,01/7980350,,www.ballsportgymnasium.at,,"AHS, Sekundarbildung Oberstufe"
201,Privates Gymnasium Sacré Coeur Wien,Rennweg 31,1030,Wien,01/712624666,,www.sacre-coeur.at/gymnasium,Mag. Birgit Gmeindl-Oser,AHS
2174,"Bundesgymnasium, Bundesrealgymnasium mit Modellversuch Neue Mittelschule Wien",Contiweg 1,1220,Wien,01/2834823-11,,www.contiweg.at,,"AHS mit NMS, AHS, Sekundarbildung Oberstufe, Sekundarbildung Unterstufe"
4419,Werkmeisterschule für Berufstätige des WIFI der Wirtschaftskammer Wien,Währinger Gürtel 97,1180,Wien,01/47677-5555,,www.wifiwien.at/werkmeister,Mag. Susanne Riegler,"WMS und WHS, Sonstige Bildungseinrichtung, Sekundarbildung Oberstufe"
4709,SZ-FIDS 12 Rosasgasse,Rosasgasse 8,1120,Wien,01/8134273,,sz-fids12.schule.wien.at,Niki Glattauer,"Sonderschule, Sonderschule, Volksschule, Sekundarbildung Oberstufe, Grundbildung"
4787,Evangelisches Gymnasium und Werkschulheim,Erdbergstraße 222A,1110,Wien,01/5038898,,www.evgym.at,Mag. Elisabeth Sinn,AHS
5303,Brigittenauer Gymnasium (GRgORg 20),Karajangasse 14,1200,Wien,01/3303141-22,,www.borg20.at,MMag. Árpád Krämer,AHS
4994,Goethe-Gymnasium Wien,Astgasse 3,1140,Wien,01/8947539,,www.goethegymnasium.at,,AHS
3419,Berufsschule für Gartenbau und Floristik Wien,Donizettiweg 31,1220,Wien,01 4000 95860,,www.zukunftgestalten.wien,,Berufsschule
5995,SPAR-Akademie - Private Berufsschule der SPAR Österreichische Warenhandels-AG,Hietzinger Hauptstraße 17,1130,Wien,01/877 12 56,,www.spar.at/akademie,"Robert Renz, MBA",Berufsschule
1698,Gymnasium und wirtschaftskundliches Realgymnasium des Schulvereins der Dominikanerinnen Wien,Schlossberggasse 17,1130,Wien,01/8773691,,www.dominikanerinnen.at,Ing. Mag. Lorenz Taferner,AHS
922,Konservatorium für Kirchenmusik der Erzdiözese Wien Wien,Stock im Eisen-Platz 3/IV,1010,Wien,01/5131865,,www.kimukons.at,Mag. Mirjam Schmidt,"Berufsschule, Musikschule, Sonstige Bildungseinrichtung"
1559,Höhere Bundeslehranstalt für wirtschaftliche Berufe,Straßergasse 37-39,1190,Wien,01/320 21 81 Sekretariat 01/320 21 81-20 LZ 01/320 21 81-24 LZ,,www.hlw19.at,Mag. Erich Rehberger,Sekundarbildung Oberstufe
1014,Bundesgymnasium Wien,Fichtnergasse 15,1130,Wien,01/8771414,,www.fichtnergasse.at,Mag. Albrecht Bauer,AHS
