skz,name,street,zip,city,phone,email,website,principal,school_type
4340048,"Glückauf""-Gymnasium Dippoldiswalde/Altenberg",Am Gymnasium 1-3,01744,Dippoldiswalde,+49 612501,mail@gagym.de,http://www.gagym.de,Volker Hegewald,Gymnázium
4331245,"1. Oberschule Meißen, Triebischtalschule",Wettinstraße 19,01662,Meißen,+49 452518,sekretariat@triebischtalschule.edu-meissen.de,https://triebischtalschule.edu-meissen.de,Steffi Wenzel,Střední škola (Oberschule)
4330429,"101. Oberschule ""Johannes Gutenberg",Pfotenhauerstraße 42,01307,Dresden,+49 44039190,MS_101@dresdner-schulen.de,https://cms.sachsen.schule/101osdd/,Juliana Dressel-Zagatowski,Střední škola (Oberschule)
4331666,107. Oberschule Dresden,Hepkestraße 26,01309,Dresden,+49 21760866,MS_107@dresdner-schulen.de,https://cms.sachsen.schule/os107dd,Danny Lange,Střední škola (Oberschule)
4330163,116. Oberschule Dresden,Feuerbachstraße 5,01219,Dresden,+49 4711194,sekretariat.116os@gmx.de,http://www.116os.de,Tobias Jäger,Střední škola (Oberschule)
4330171,"121. Oberschule Dresden ""Johann Georg Palitzsch",Gamigstraße 28,01239,Dresden,+49 2844026,schule@121-os-dd.de,https://www.121-oberschule-dresden.de,Angela Boschütz,Střední škola (Oberschule)
4431151,125. Schule - Oberschule der Stadt Leipzig,Heinrichstraße 43-45,04317,Leipzig,+49 649330,info@125-oberschule.de,http://www.125-oberschule.de,Claudia Wallner,Střední škola (Oberschule)
4330486,"128. Oberschule ""Carola von Wasa",Rudolf-Bergander-Ring 3,01219,Dresden,+49 2816631,ms_128@dresdner-schulen.de,https://os128-carola-von-wasa.de,Susanne Kniola,Střední škola (Oberschule)
4330411,138. Oberschule Dresden,Omsewitzer Ring 2,01169,Dresden,+49 4122821,sekretariat@138-oberschule.de,http://www.138-oberschule.de,Frank Lotter,Střední škola (Oberschule)
4331732,145. Oberschule Dresden-Pieschen,Gehestraße 2,01127,Dresden,+49 7957380,MS_145@dresdner-schulen.de,https://145-oberschule-dresden.de/,Anne Leitner,Střední škola (Oberschule)
