skz,name,street,zip,city,phone,email,website,principal,school_type
5855,Landwirtschaftliche Fachschule Eisenstadt,Neusiedler Straße 6,7000,Eisenstadt,02682/63644 02682/6364430,,www.weinbauschule.at,Mag. Erich Unger,Zemědělské školy + vyšší sekundární
5823,Bundeshandelsakademie und Bundeshandelsschule Stegersbach,Kirchengasse 44,7551,Stegersbach,03326/52340,,www.hak-stegersbach.at,Mag. Chris Wagner,Obchodní škola + vyšší sekundární
670,Private Pädagogische Hochschule Burgenland,Thomas-Alva-Edison-Straße 1,7000,Eisenstadt,02682/24817,,www.ph-burgenland.at,,Pedagogické a další vysoké školy
5056,Bundeshandelsakademie und Bundeshandelsschule Neusiedl am See,Bundesschulstraße 4,7100,Neusiedl am See,02167/8858,,www.akademie-der-wirtschaft.at,Mag. Hannes Nitschinger,Obchodní škola + vyšší sekundární
5923,Bundeshandelsakademie und Bundeshandelsschule Eisenstadt,Bad Kissingen-Platz 3,7001,Eisenstadt,02682/64608,,www.bhak-eisenstadt.at,Mag. Reinhard Gaul,Obchodní škola + vyšší sekundární
4462,Höhere Lehranstalt für wirtschaftliche Berufe Theresianum Eisenstadt,Kalvarienbergplatz 8,7000,Eisenstadt,02682/62236-27 02682/62236-30,,www.theresianum-eisenstadt.at,MMag. Edith Straussberger,Obchodní škola + vyšší sekundární
4804,Höhere technische Bundeslehranstalt Eisenstadt,Bad Kissingen-Platz 3,7000,Eisenstadt,+43 2682 64605,,www.htleisenstadt.at,,Vyšší sekundární vzdělávání
3320,Schule für allgemeine Gesundheits- und Krankenpflege Oberwart,Dornburggasse 82,7400,Oberwart,057979/24714,,pflegeausbildung-burgenland.at,"Gabriele Ehrenhöfer, MSc",Sociálně-zdravotní škola + vyšší sekundární
4071,Bundeshandelsakademie und Bundeshandelsschule Frauenkirchen,Kirchenplatz 1,7132,Frauenkirchen,02172/2164,,www.bhakbhas.at,Mag. Hannes Schmid,Obchodní a sociálně-zdravotní škola + vyšší sekundární
3854,Bundesbildungsanstalt für Elementarpädagogik / Bundesbildungsanstalt für Sozialpädagogik - Kolleg,Dornburggasse 93,7400,Oberwart,03352/32355,,www.bafep-oberwart.at,OStR Prof. Mag. Herwig Wallner,AHS + vyšší sekundární + mateřská škola
322,Landesfachschule für Keramik und Ofenbau Stoob,Keramikstraße 16,7344,Stoob,02612/42484,,www.keramikschule.at,Mag. Christa Pichler,"Technické střední školy (TMS, THS) + vyšší sekundární"
203,Oberstufenrealgymnasium Theresianum Eisenstadt,Kalvarienbergplatz 8,7000,Eisenstadt,02682/62236 02682/62236-30,,www.theresianum-eisenstadt.at,MMag. Edith Straussberger,"Všeobecně vzdělávací vyšší škola (AHS), vyšší sekundární vzdělávání"
2421,PANNONEUM - Wirtschafts- und Tourismusschulen Neusiedl am See,Bundesschulstraße 4,7100,Neusiedl,02167/8257,,www.pannoneum.at,,Ekonomické střední školy + vyšší sekundární
5944,Bundesoberstufenrealgymnasium Jennersdorf,Schulstraße 4,8380,Jennersdorf,03329/46078,,www.borg-bhas-jennersdorf.at,,Všeobecně vzdělávací vyšší škola (AHS)
656,Bundes-Oberstufenrealgymnasium Güssing,Schulstraße 17,7540,Güssing,03322/42125,,www.borg-gs.at,Mag. Robert Antoni,Všeobecně vzdělávací vyšší škola (AHS)
5815,Bundeshandelsakademie und Bundeshandelsschule Mattersburg,Michael-Koch-Straße 44,7210,Mattersburg,02626/64580,,www.hak-mattersburg.at,,Obchodní škola + vyšší sekundární
3990,"Bundesgymnasium, Bundesrealgymnasium und Bundes-Oberstufenrealgymnasium Oberpullendorf",Gymnasiumstraße 21,7350,Oberpullendorf,02612/42407,,www.brgop.at,Mag.a Helga Fabsits,Všeobecně vzdělávací vyšší škola (AHS)
3128,Berufsschule Oberwart,Schulgasse 32,7400,Oberwart,03352/32362,,www.bs-oberwart.at,"BDir. OSR Ing. Dipl.-Päd. Norbert Seldte, BEd",Odborné učiliště + vyšší sekundární
1674,Bundeshandelsakademie und Bundeshandelsschule Oberpullendorf,Gymnasiumstraße 19,7350,Oberpullendorf,02612/42621,,www.hak-op.at,Mag. Robert Friedl,Obchodní škola + vyšší sekundární
4246,Zweisprachiges Bundesgymnasium Oberwart,Badgasse 7,7400,Oberwart,03352/34024,,www.bg-oberwart.at,Mag. Iris Zsótér,Všeobecně vzdělávací vyšší škola (AHS)
2950,Landesberufsschule Eisenstadt,Gölbeszeile 10-12,7000,Eisenstadt,02682/6330322,,www.bs-eisenstadt.at,,Odborné učiliště
2967,Landwirtschaftliche Fachschule Güssing,Stremtalstraße 19,7540,Güssing,03322/42288-0,,www.lfsguessing.at,FS-Dir. Ing. Dipl.-Päd. Gerhard Müllner,Zemědělské školy + vyšší sekundární
4265,"Höhere Bundeslehranstalt für Mode, Produktmanagement, Tourismus und Wirtschaftliche Berufe,gstechnik Oberwart",Badgasse 5,7400,Oberwart,03352/34414,,www.hbla-oberwart.at,,Ekonomické střední školy + vyšší sekundární
