skz,name,street,zip,city,phone,email,website,principal,school_type
5855,Landwirtschaftliche Fachschule Eisenstadt,Neusiedler Straße 6,7000,Eisenstadt,02682/63644 02682/6364430,,www.weinbauschule.at,Mag. Erich Unger,"LFMS, Sekundarbildung Oberstufe"
5823,Bundeshandelsakademie und Bundeshandelsschule Stegersbach,Kirchengasse 44,7551,Stegersbach,03326/52340,,www.hak-stegersbach.at,Mag. Chris Wagner,"Kaufmännische Schule, Sekundarbildung Oberstufe"
1588,MINT-Mittelschule Illmitz - Nationalparkschule,Zickhöhe 25,7142,Illmitz,02175/5009 0664/92 68 599,,www.nms-illmitz.at,"SCL Brigitte Maria Renner, BEd, MA","Neue Mittelschule, Sekundarbildung Unterstufe"
670,Private Pädagogische Hochschule Burgenland,Thomas-Alva-Edison-Straße 1,7000,Eisenstadt,02682/24817,,www.ph-burgenland.at,,"Pädagogische Hochschulen, Hochschulen"
5056,Bundeshandelsakademie und Bundeshandelsschule Neusiedl am See,Bundesschulstraße 4,7100,Neusiedl am See,02167/8858,,www.akademie-der-wirtschaft.at,Mag. Hannes Nitschinger,"Kaufmännische Schule, Sekundarbildung Oberstufe"
5923,Bundeshandelsakademie und Bundeshandelsschule Eisenstadt,Bad Kissingen-Platz 3,7001,Eisenstadt,02682/64608,,www.bhak-eisenstadt.at,Mag. Reinhard Gaul,"Kaufmännische Schule, Sekundarbildung Oberstufe"
4462,Höhere Lehranstalt für wirtschaftliche Berufe Theresianum Eisenstadt,Kalvarienbergplatz 8,7000,Eisenstadt,02682/62236-27 02682/62236-30,,www.theresianum-eisenstadt.at,MMag. Edith Straussberger,"Kaufmännische Schule, Sekundarbildung Oberstufe"
1226,Volksschule Sankt Margarethen im Burgenland,Hauptplatz 5,7062,Sankt Margarethen im Burgenland,02680/2212,,vs-st-margarethen.at,Karin Lang,"Volksschule, Grundbildung"
2851,Netzwerk Mittelschule Markt Allhau,Schulgasse 15,7411,Markt Allhau,03356/244,,www.nms-ma.at,"Daniela Hallemann, BEd, MA","Neue Mittelschule, Sekundarbildung Unterstufe"
4804,Höhere technische Bundeslehranstalt Eisenstadt,Bad Kissingen-Platz 3,7000,Eisenstadt,+43 2682 64605,,www.htleisenstadt.at,,Sekundarbildung Oberstufe
998,Erwin Moser Volksschule Gols,Obere Hauptstraße 5,7122,Gols,02173/2275 06641609630,,vsgols.at,"Vs Dir. Elisabeth Kainz, dipl.Päd","Volksschule, Grundbildung"
3320,Schule für allgemeine Gesundheits- und Krankenpflege Oberwart,Dornburggasse 82,7400,Oberwart,057979/24714,,pflegeausbildung-burgenland.at,"Gabriele Ehrenhöfer, MSc","Sozialberufliche Schule, Sekundarbildung Oberstufe"
475,Volksschule Apetlon - Nationalparkschule,Kirchengasse 7,7143,Apetlon,02175/2236 0664/9268599,,vs-apetlon.at,"Brigitte Maria Renner, BEd, MA","Volksschule, Grundbildung"
4316,Volksschule Illmitz - Nationalparkschule,Zickhöhe 25,7142,Illmitz,02175/2349 06479268599,,www.vs-illmitz.at,"Brigitte Maria Renner, BEd, MA","Volksschule, Grundbildung"
636,Sonnenland Schule,Ing. H. Sylvester Straße 7,7000,Eisenstadt,0688/8287726,,www.sonnenlandschule.at,Mag. Regina Thurner,SAS
484,Neue Mittelschule Jennersdorf - Schwerpunkt Informatik mit PTS und Expositur Neuhaus,Schulstraße 2,8380,Jennersdorf,03329/45331,,www.ipadschule.at,"Hannes Thomas, BEd, MAS, MSc","Polytechnische Schule, Neue Mittelschule, Sekundarbildung Unterstufe"
4071,Bundeshandelsakademie und Bundeshandelsschule Frauenkirchen,Kirchenplatz 1,7132,Frauenkirchen,02172/2164,,www.bhakbhas.at,Mag. Hannes Schmid,"Kaufmännische Schule, Sozialberufliche Schule, Sekundarbildung Oberstufe"
3854,Bundesbildungsanstalt für Elementarpädagogik / Bundesbildungsanstalt für Sozialpädagogik - Kolleg,Dornburggasse 93,7400,Oberwart,03352/32355,,www.bafep-oberwart.at,OStR Prof. Mag. Herwig Wallner,"AHS, Sekundarbildung Oberstufe, Kindergarten"
322,Landesfachschule für Keramik und Ofenbau Stoob,Keramikstraße 16,7344,Stoob,02612/42484,,www.keramikschule.at,Mag. Christa Pichler,"TMS und THS, Sekundarbildung Oberstufe"
3704,Mittelschule Zurndorf,Mühlgasse 42,2424,Zurndorf,02147 2224,,www.ms-zurndorf.at,"Dipl.-Päd.in Gerda Kappel, BEd","Neue Mittelschule, Sekundarbildung Unterstufe"
1744,Volksschule Grieselstein,Grieselstein Dorf 33,8380,Jennersdorf,03329/48033,,www.vs-jennersdorf.schulweb.at,Schulleiterin,"Volksschule, Grundbildung"
4651,Volksschule Jennersdorf,Wollingergasse 1,8380,Jennersdorf,03329/46554,,www.vs-jennersdorf.schulweb.at,Schulleiterin,"Volksschule, Grundbildung"
5255,Polytechnische Schule Oberpullendorf,Spitalstraße 33,7350,Oberpullendorf,02612/42630,,pts-oberpullendorf.at,,"Polytechnische Schule, Sekundarbildung Oberstufe"
1592,Volksschule Oberpetersdorf,Schulgasse 2,7332,Kobersdorf,02618/8008,,www.school4you.at/7332/vs-oberpetersdorf,Angelika Hallwachs,"Volksschule, Grundbildung"
203,Oberstufenrealgymnasium Theresianum Eisenstadt,Kalvarienbergplatz 8,7000,Eisenstadt,02682/62236 02682/62236-30,,www.theresianum-eisenstadt.at,MMag. Edith Straussberger,"AHS, Sekundarbildung Oberstufe"
2080,Mittelschule Neuhaus am Klausenbach - NATURPARKSCHULE,Hauptstraße 2,8385,Neuhaus am Klausenbach,03329/2402,,www.mittelschule-neuhaus.at,Stefanie Kropf,"Neue Mittelschule, Hauptschule, Sekundarbildung Unterstufe"
2421,PANNONEUM - Wirtschafts- und Tourismusschulen Neusiedl am See,Bundesschulstraße 4,7100,Neusiedl,02167/8257,,www.pannoneum.at,,"WMS und WHS, Sekundarbildung Oberstufe"
5944,Bundesoberstufenrealgymnasium Jennersdorf,Schulstraße 4,8380,Jennersdorf,03329/46078,,www.borg-bhas-jennersdorf.at,,AHS
4657,Höhere Lehranstalt für wirtschaftliche Berufe Pinkafeld,Schulstraße 7,7423,Pinkafeld,03357/42490,,www.hlw-pinkafeld.at,Mag. Harald Zapfel,
5143,Neue Mittelschule Sankt Michael im Burgenland,Schulstraße 250,7535,Sankt Michael im Burgenland,03327/2302,,www.nms-stmichael.at,Direktor,"Neue Mittelschule, Hauptschule, Sekundarbildung Unterstufe"
1,"Hohe Schule der Wirtschaft und Dienstleistungen, just4web.cz (Sample schriftlich)",Dobrovského 2366,58001,Havlíčkův Brod,564 036 164 774 712 218,,www.just4web.cz,Pavel Just,"Volksschule, Hochschulen"
