skz,name,street,zip,city,phone,email,website,principal,school_type
401011,"VS 1, Stelzhamerschule",Tegetthoffstraße 23,4020,Linz,0732 656 053-21,s401011@schule-ooe.at,http://vs1-linz.jimdo.com,Frau Stefanie Luisa Rieder,Základní škola
401014,Polytechnische Schule Urfahr,Hinsenkamplatz 3,4040,Linz,0732 700 901-11,s401014@schule-ooe.at,http://www.pts-urfahr.at,Herr Christian Bauer,Polytechnická škola
401015,Berufsschule Linz 6,Ferihumerstraße 28,4040,Linz,+43 732 7720 36200,bs-linz6.post@ooe.gv.at,http://www.bs-linz6.ac.at,Frau Nina Jelinek,Odborné učiliště
401016,"Akademisches Gymnasium Linz, Spittelwiese",Spittelwiese 14,4020,Linz,0732 772 635,s401016@bildung.gv.at,http://www.akadgymlinz.eduhi.at,Herr Gerhard Beuer,Všeobecná střední škola (gymnázium)
401022,"TNMS3, Technische Naturwissenschaftliche Mittelschule 3 – Linz",Figulystraße 15,4020,Linz,0732 652 619,s401022@schule-ooe.at,https://www.tnms3-linz.at,Frau Sandra Mayerhofer,Nižší střední škola
401023,"Allgem. Sonderschule 2, Diesterwegschule<br>Schule für individuelle Förderung",Khevenhüllerstraße 3,4020,Linz,0732 663 045,s401023@schule-ooe.at,http://www.aso2linz.com,Herr Martin Pühringer,Speciální škola
401025,Berufsschule Linz 7,Ferihumerstraße 28,4040,Linz,0732 77 20-36300,bs-linz7.post@ooe.gv.at,http://www.bs-linz7.ac.at,Frau Barbara Hunger-Kirchberger,Odborné učiliště
401026,"Bundesrealgymnasium Linz, Fadingerstraße",Fadingerstraße 4,4020,Linz,0732 778 170,s401026@bildung.gv.at,http://www.fadi.at,Frau Sylvia Bäck,Všeobecná střední škola (gymnázium)
401031,"VS 4, Mozartschule",Volksfeststraße 7-11,4020,Linz,0732 778 144,s401031@schule-ooe.at,http://schulen.eduhi.at/vs4.linz,Herr Johannes Greul,Základní škola
401032,"Mittelschule 5, Otto-Glöckel-Schule Linz",Dürrnbergerstraße 1,4020,Linz,0732 654 108,s401032@schule-ooe.at,https://www.ms5linz.at/,Frau Martina Rabl,Nižší střední škola
401035,Berufsschule Linz 3,Makartstraße 3,4020,Linz,0732 77 20-35900,bs-linz3.post@ooe.gv.at,http://www.bs-linz3.ac.at,Herr Rainer Hacker,Odborné učiliště
401036,Gymnasium und Realgymnasium des Schulvereins Kollegium Aloisianum Linz,Freinbergstraße 32,4020,Linz,0732 774 121-52,s401036@bildung.gv.at,https://www.aloisianum.at,Herr Michael Haderer,Všeobecná střední škola (gymnázium)
401041,"VS 6, Römerbergschule",Donatusgasse 3,4020,Linz,0732 776 367,s401041@schule-ooe.at,https://roemerbergschule.at,Frau Nicole Staufner,Základní škola
401043,Allgem. Sonderschule 4<br>Schule für Alle am Teistlergut,Teistlergutstraße 23,4040,Linz,0732 732 577,s401043@schule-ooe.at,http://www.schule.fuer.alle.eduhi.at,Frau Lucia Straßer-Kreisel,Speciální škola
401046,"Bundesoberstufenrealgymnasium Linz, Honauerstraße",Honauerstraße 24,4020,Linz,0732 776 111-0,s401046@bildung.gv.at,http://www.borglinz.at,Herr Jürgen Eder,Všeobecná střední škola (gymnázium)
401051,"VS 8, Goetheschule",Südtirolerstraße 13,4020,Linz,0732 662 015,s401051@schule-ooe.at,http://www.goetheschule-linz.at,Frau Michaela Kainmüller,Základní škola
401055,Berufsschule Linz 5,Glimpfingerstraße 8a,4020,Linz,0732 77 20-36100,bs-linz5.post@ooe.gv.at,http://www.bs-linz5.ac.at,Herr Alexander Kriegner,Odborné učiliště
