skz,name,street,zip,city,phone,email,website,principal,school_type
401014,Polytechnische Schule Urfahr,Hinsenkamplatz 3,4040,Linz,0732 700 901-11,s401014@schule-ooe.at,http://www.pts-urfahr.at,Herr Christian Bauer,Polytechnická škola
401114,Polytechnische Schule Linz I,Tungassingerstraße 23,4020,Linz,0732 346 306,s401114@schule-ooe.at,http://www.poly.at,Frau Daniela Stumptner,Polytechnická škola
401417,Höhere Technische Bundeslehranstalt Linz 1<br>HTL1 BAU UND DESIGN,Goethestraße 17,4020,Linz,0732 662 602,s401417@bildung.gv.at,http://www.htl1.at,Herr Christian Armbruster,Technická škola
401467,Höhere Technische Bundeslehranstalt Linz 2<br>LiTEC Linzer Technikum,Paul-Hahn-Straße 4,4020,Linz,0732 770 301,s401467@bildung.gv.at,https://www.litec.ac.at,Frau Anja Weiermann,Technická škola
402417,Höhere Technische Bundeslehranstalt Steyr,Schlüsselhofgasse 63,4400,Steyr,07252 729 14-0,s402417@bildung.gv.at,http://www.htl-steyr.ac.at,Frau Sandra Losbichler,Technická škola
403014,Polytechnische Schule Wels-Stadt,Eisenhowerstraße 18,4600,Wels,07242 235-6570,s403014@schule-ooe.at,http://schulen.eduhi.at/pts-wels/default.htm,Herr Daniel Watzinger,Polytechnická škola
403427,"Höhere Technische Lehranstalt für Lebensmitteltechnologie, Getreide- und Biotechnologie des Landes OÖ",Carl-Blum-Straße 4,4600,Wels,0732 77 20-34600,htl-lmt-gw-wels.post@ooe.gv.at,http://www.htllmt.at,Frau Gisela Wenger-Oehn,Technická škola
403457,Höhere Technische Bundeslehranstalt Wels,Fischergasse 30,4600,Wels,07242 658 01-0,s403457@bildung.gv.at,https://www.htl-wels.at,Herr Bertram Geigl,Technická škola
403497,"Meisterschule für Müller, Bäcker und Konditoren des Landes Oberösterreich in Wels",Carl-Blum-Straße 4,4600,Wels,07242 471 74,office@htllmt.at,http://www.htllmt.at,Frau Gisela Wenger-Oehn,Technická škola
404064,Polytechnische Schule Mattighofen,Trattmannsbergerweg 4b,5230,Mattighofen,07742 37 62 12,s404064@schule-ooe.at,http://www.pts-mattighofen.eduhi.at,Frau Anna Frauscher,Polytechnická škola
404104,Polytechnische Schule Braunau,Auf der Schanz 8,5280,Braunau,07722 842 00,s404104@schule-ooe.at,https://www.pts-braunau.at/,Herr Günter Haider,Polytechnická škola
404427,Höhere Technische Bundeslehranstalt Braunau,Osternbergerstraße 55,5280,Braunau,07722 836 90,s404427@bildung.gv.at,http://htl-braunau.at,Frau Gerda Schneeberger,Technická škola
405044,Polytechnische Schule Eferding,Welser Straße 17,4070,Eferding,07272 557 611,s405044@schule-ooe.at,https://www.pts-eferding.at/,Herr Norbert Herbst,Polytechnická škola
406034,Polytechnische Schule Freistadt,Linzer Straße 6a,4240,Freistadt,07942 724 22,s406034@schule-ooe.at,http://www.pts-freistadt.at,Frau Klaudia Umdasch,Polytechnická škola
406044,Polytechnische Schule Pregarten<br>INFOTEC - PTS PREGARTEN,Althauserstraße 10,4230,Pregarten,07236 23 95-30,s406044@schule-ooe.at,http://www.ptspregarten.at,Frau Monika Pirkelbauer,Polytechnická škola
407024,Polyt. Schule Gmunden,Spitalstraße 6,4810,Gmunden,07612 794 560,s407024@schule-ooe.at,https://ptsgmunden.edupage.org,Frau Gabriele Pohl,Polytechnická škola
