skz,name,street,zip,city,phone,email,website,principal,school_type
0015,Karl-Theodor-von-Dalberg-Gymnasium Aschaffenburg,Grünewaldstraße 18,63739,Aschaffenburg,06021/451850,06021/4518529,https://www.dalberg-gymnasium.de/,,Gymnázium
7438,Berufsfachschule für Altenpflegehilfe Aschaffenburg der Hans-Weinberger-Akademie der Arbeiterwohlfahrt,Berliner Allee 3,63739,Aschaffenburg,06021/3109113,06021/31091120,https://www.hwa-online.de/,,Střední zdravotnická škola
7150,Städtische Fachschule (Meisterschule) für Steinmetzen und Steinbildhauer Aschaffenburg,Schloßgasse 27,63739,Aschaffenburg,06021/5837090,06021/58370999,https://www.steinmetzschule-aschaffenburg.de/,,Technická odborná škola
0412,Maria-Ward-Schule Aschaffenburg Mädchenrealschule der Maria-Ward-Stiftung Aschaffenburg,Brentanoplatz 8,63739,Aschaffenburg,06021/313614,06021/313650,https://https//www.mwsab.de/,,Střední škola (Reálka)
0578,Priv. staatl. anerk. Realschule Krauß Priv. Schulen Krauß e.V. Aschaffenburg,Erlenmeyerstraße 3 - 5,63741,Aschaffenburg,06021/4439960,06021/44399625,https://www.psk-ab.de/,,Střední škola (Reálka)
1080,Ruth-Weiss-Realschule Aschaffenburg,Darmstädter Straße 2,63741,Aschaffenburg,06021/452420,06021/4524250,https://https//www.ruth-weiss-realschule.de/,,Střední škola (Reálka)
7237,Staatliche Berufsschule I Aschaffenburg,Seidelstraße 2,63741,Aschaffenburg,06021/44994-0,06021/44994-500,https://www.berufsschule1ab.de/,,Odborné učiliště
7211,Staatliche Berufsschule II Aschaffenburg,Seidelstraße 2,63741,Aschaffenburg,06021/449950,06021/4499567,https://www.bs2ab.de/,,Odborné učiliště
7291,Staatliche Berufsschule III Aschaffenburg,Seidelstraße 4,63741,Aschaffenburg,06021/583850,06021/5838538,https://www.bszab.de/,,Odborné učiliště
7097,Private Wirtschaftsschule Krauss Aschaffenburg,Erlenmeyerstraße 3 - 5,63741,Aschaffenburg,06021/4439960,06021/44399625,https://www.psk-ab.de/,,Ekonomická odborná škola
7252,Staatliche Berufsfachschule für informations-und telekommunikationstechnische Berufe Aschaffenburg,Seidelstraße 2,63741,Aschaffenburg,06021/44995-0,06021/4499567,https://www.bs2ab.de/,,Obchodní odborná škola
7293,Staatliche Berufsfachschule für Ernährung und Versorgung Aschaffenburg,Seidelstraße 4,63741,Aschaffenburg,06021/583850,06021/5838538,https://www.bszab.de/,,Sociálně-zdravotní odborná škola
7292,Staatliche Berufsfachschule für Kinderpflege Aschaffenburg,Seidelstraße 4,63741,Aschaffenburg,06021/583850,06021/5838538,https://www.bszab.de/,,Sociálně-zdravotní odborná škola
7236,Staatliche Berufsfachschule für Sozialpflege in Aschaffenburg,Seidelstraße 4,63741,Aschaffenburg,06021/583850,06021/5838538,https://www.bszab.de/,,Sociálně-zdravotní odborná škola
7158,Berufsfachschule für Ergotherapie Aschaffenburg des IB e.V. (IB),Erlenmeyerstraße 4 - 6,63741,Aschaffenburg,06021/50940003,0711/6454462,https://www.med-akademie.de/,,Střední zdravotnická škola
7294,BFS für Physiotherapie d.Hans-Weinberger-Akademie d.Arbeiterwohlfahrt e. V. in Aschaffenburg,Magnolienweg 16,63741,Aschaffenburg,06021/3109114,06021/3109120,https://www.hwa-online.de/,,Střední zdravotnická škola
7106,BFS für anästhesietech. u.operationstechn. Assistent/innen d.Klinikum Aschaffenburg-Alzenau g,Am Gemeindegraben 9,63741,Aschaffenburg,06021/322266,06021/322232,https://www.klinikum-ab-alz.de/,,Střední zdravotnická škola
