skz,name,street,zip,city,phone,email,website,principal,school_type
09P05,Grone - Bildungszentren Berlin GmbH - gemeinnützig,Eichenstr. 3B,12435,Berlin (Alt-Treptow),+49 30 549727141,akademie-berlin@grone.de,www.berufsschule-grone-berlin.de,"Brandt, Angelika",Střední odborná škola (SOŠ)
09Y12,12. Schule (Gymnasium),Kiefholzstr. 274,12437,Berlin (Baumschulenweg),+49 30 5329141,schulleitung@gymnasium09y12.de,gymnasium09y12.de,"Haase, Bianka",Gymnázium
11Y12,12. Schule (Gymnasium),Allee der Kosmonauten 20-22,10315,Berlin (Lichtenberg),+49 03 2639114000,11Y12@11Y12.schule.berlin.de,gym.adkosmos.eu,"Kurzeja, Sebastian",Gymnázium
10Y12,12. Schule (Gymnasium),Erich-Kästner-Str. 52,12619,Berlin (Hellersdorf),+49 03,10Y12@10Y12.schule.berlin.de,,N.N.,Gymnázium
01Y13,13. Schule (Gymnasium),Turmstr. 75,10551,Berlin (Moabit),+49 30 9018 38210,schulleitung@gymnasium-13.de,gymnasium-13.de,"Sladek, Steffen",Gymnázium
11P18,Akademie für berufliche Bildung (AFBB) gGmbH,Bornitzstr. 73-75,10365,Berlin (Lichtenberg),+49 30 2888690,berlin@afbb-ggmbh.de,www.afbb.de,"Preußer, Bianca (komm.) ; Puchert Jacqueline",Vyšší odborná škola
08Y03,Albert-Einstein-Gymnasium,Parchimer Allee 109,12359,Berlin (Britz),+49 30 6009020,sekretariat@aeo.de,www.aeo.de,"Gerhardt-Acquarone, Wolfgang",Gymnázium
08Y02,Albert-Schweitzer-Gymnasium,Karl-Marx-Str. 14,12043,Berlin (Neukölln),+49 30 225009830,sekretariat@08Y02.schule.berlin.de,www.die-schweitzer.de,"Pille, Thomas",Gymnázium
08Y01,Albrecht-Dürer-Gymnasium,Emser Str. 133-137,12051,Berlin (Neukölln),+49 30 221994310,08Y01@08Y01.schule.berlin.de,albrecht-duerer-gymnasium.de,"Keller, Lonie",Gymnázium
09Y05,Alexander-von-Humboldt-Gymnasium,Oberspreestr. 173,12555,Berlin (Köpenick),+49 30 6519788,sekretariat@avh.berlin,www.avh.berlin,"Oestreich, Katrin",Gymnázium
02Y01,Andreas-Gymnasium,Koppenstr. 76,10243,Berlin (Friedrichshain),+49 30 29369020,sekretariat@andreas.schule.berlin.de,www.andreas-schule.org,"Dr. Strohmeyer, Birgit",Gymnázium
04B05,Anna-Freud-Schule (OSZ Sozialwesen),Halemweg 22,13627,Berlin (Charlottenburg-Nord),+49 30 901893501,04B05@04B05.schule.berlin.de,www.anna-freud-osz.de,"Priebsch, Anne",Odborné učiliště / škola praxe
08B01,Annedore-Leber-Oberschule,Paster-Behrens-Str. 88,12359,Berlin (Britz),+49 30 66588361,sekr.br@aloberlin.de,www.aloberlin.de,"Szymanski, Michael",Odborné učiliště / škola praxe
09Y04,Anne-Frank-Gymnasium,Uranusstr. 15-17,12524,Berlin (Altglienicke),+49 30 51653360,sekretariat@afg.schule.berlin.de,www.anne-frank-schule-berlin.de,"Hentsch, Andrea",Gymnázium
09Y03,Archenhold-Gymnasium,Rudower Str. 7,12439,Berlin (Niederschöneweide),+49 30 6360195,sekretariat@archenhold.de,archenhold.de,"Uhlig, Michael",Gymnázium
06Y03,Arndt-Gymnasium Dahlem,Königin-Luise-Str. 80-84,14195,Berlin (Dahlem),+49 30 8315052,sekretariat@arndt-gymnasium.de,arndt-gymnasium.de,"Lehmann-Schmidkunz, Claudia",Gymnázium
07Y06,Askanisches Gymnasium,Kaiserin-Augusta-Str. 19/20,12103,Berlin (Tempelhof),+49 30 902772679,sekretariat@askanisches-gymnasium.de,www.askanisches-gymnasium.de,"Draude, Claudia",Gymnázium
02B01,August-Sander-Schule,Naglerstr. 1-3,10245,Berlin (Friedrichshain),+49 30 29362760,schulbuero@august-sander-schule.de,www.august-sander-schule.de,"Baldeweg, Maren",Odborné učiliště / škola praxe
11Y09,Barnim-Gymnasium,Ahrensfelder Chaussee 41,13057,Berlin (Falkenberg),+49 30 9366690,kontakt@barnim-gym.de,www.barnim-gymnasium.net,"Koven, Sebastian",Gymnázium
07P21,BBA-Akademie für Immobilienwirtschaft e.V.,Hauptstr. 78-79,12159,Berlin (Friedenau),+49 30 2308550,Berufsschule@bba-campus.de,www.bba-campus.de,"Hildebrand, Silke",Odborné učiliště / škola praxe
11P02,bbw Akademie für Betriebswirtschaftliche Weiterbildung GmbH,Rheinpfalzallee 82,10318,Berlin (Karlshorst),+49 30 50929403,schulsekretariat@bbw-berufliche-schulen.de,www.bbw-berufliche-schulen.de,"Schulz, Birgit",Vyšší odborná škola
06Y06,Beethoven-Gymnasium,Barbarastr. 9,12249,Berlin (Lankwitz),+49 30 76890530,Leitung@beethoven-gymnasium.eu,www.beethoven-gymnasium.eu,"Dr. Neukirchen, Gunilla",Gymnázium
01P22,Berlin Cosmopolitan School,Rückerstr. 9,10119,Berlin (Mitte),+49 30 688332324,mail@cosmopolitanschool.de,www.cosmopolitanschool.de,"Wende, Yvonne; Brennan, James; Röschel, Katrin",Gymnázium
03B02,Berufliche Schule für Sozialwesen Pankow,Erbeskopfweg 6-8,13158,Berlin (Rosenthal),+49 30 50019910,sekretariat@soz-pankow.de,www.schule-sozialwesen-pankow.de,"Willuweit, Etta",Odborné učiliště / škola praxe
09P11,Berufsbildungszentrum Chemie,Adlergestell 333,12489,Berlin (Adlershof),+49 30 6700040,schelhase@bbz-chemie.de,www.bbz-chemie.de,"Dr. Schelhase, Frauke",Vyšší odborná škola
01P40,Berufsfachschule Paulo Freire im Zentrum ÜBERLEBEN,Turmstr. 21,10559,Berlin (Moabit),+49 30 30390653,info@pflege-lernen.org,www.pflege-lernen.org,"Hahn, Marco",Střední odborná škola (SOŠ)
05P05,Berufsschule des Rotkreuz-Instituts,Krampnitzer Weg 83-87,14089,Berlin (Kladow),+49 30 36502191,behrendt.k@bbw-rki-berlin.de,www.rkibbw.de,"Koch, Cordula",Odborná škola se speciální pedagogikou
01P14,BEST-Sabel Berufsakademie,Littenstr. 109,10179,Berlin (Mitte),+49 30 4284910,schule@best-sabel.de,best-sabel.de,"Kissling, Kilian",Vyšší odborná škola
09P22,BEST-Sabel Berufsakademie,Lindenstr. 42,12555,Berlin (Köpenick),+49 03,schule@best-sabel.de,best-sabel.de,,Vyšší odborná škola (FOS)
09P09,BEST-Sabel-Oberschule,Lindenstr. 1,12555,Berlin (Köpenick),+49 30 280360970,oberschule@best-sabel.de,best-sabel.de,"Germer, Jana",Gymnázium
06S02,Biesalski-Schule,Hüttenweg 40,14195,Berlin (Dahlem),+49 30 902996474,buero@biesalski-schule.de,www.biesalski-schule.de,"Kurandt-Ruhnau dos Santos, Michaela",Odborná škola se speciální pedagogikou
01P18,Bilinguale Schule Phorms Berlin Mitte,Ackerstr. 76,13355,Berlin (Gesundbrunnen),+49 30 318737100,berlin-mitte@phorms.de,berlin-mitte.phorms.de,"Stölting, Jana",Gymnázium
06P18,Bilinguale Schule Phorms Berlin Süd,Harry-S.-Truman-Allee 3,14167,Berlin (Lichterfelde),+49 30 91684990,berlin-sued@phorms.de,www.berlin-sued.phorms.de,"Hardt, Valèrie; Mell, Selena",Gymnázium
03B04,Brillat-Savarin-Schule (OSZ Gastgewerbe),Buschallee 23A,13088,Berlin (Weißensee),+49 30 9142660,sekretariat@osz-gastgewerbe.de,www.osz-gastgewerbe.de,"Dietrich, Jürgen",Vyšší odborná škola
01P36,BTB Schulzentrum gGmbH,Alexanderstr. 5,10178,Berlin (Mitte),+49 30 2888589925,info@btb-schulzentrum.de,btb-schulzentrum.de,"Dr. Schmidt-Wittner, H.; Behrens, F.",Odborné učiliště / škola praxe
08P13,b-trend-setting gGmbH,Lahnstr. 19,12055,Berlin (Neukölln),+49 30 921028980,info@b-trend.academy,www.b-trend.academy,"Schneider, Jochen",Odborné učiliště / škola praxe
02P07,Campus Berufsbildung e.V.,Friedrichstr. 231,10969,Berlin (Kreuzberg),+49 30 25931877,tbfs@campus-bb.de,www.campus-berlin.de/friedrichstrasse,"Schilli, Nadja",Odborné učiliště / škola praxe
07P10,Campus Berufsbildung e.V.,Geneststr. 5,10829,Berlin (Schöneberg),+49 30 515668332,g.luebbers@campus-bb.de,www.campus-berlin.de,"Lübbers, Gerlinde",Vyšší odborná škola
04P37,Campus Berufsbildung e.V.,Wilmersdorfer Str. 126-127,10627,Berlin (Charlottenburg),+49 30 420827900,d.hoffmeister@campus-bb.de,www.campus-berlin.de,"Hoffmeister, Detlev",Střední odborná škola (SOŠ)
01P06,Canisius-Kolleg,Tiergartenstr. 30-31,10785,Berlin (Tiergarten),+49 30 26481105,schulleitung@canisius.de,canisius.de,"Dr. Bernhardt, Jan",Gymnázium
05Y04,Carl-Friedrich-von-Siemens-Gymnasium,Jungfernheideweg 79,13629,Berlin (Siemensstadt),+49 30 34505680,mail@cfvsiemens.de,www.cfvsiemens.de,"Kremer, Claudia",Gymnázium
08B05,Carl-Legien-Schule (Schulbetrieb an 01B04),Schwyzer Str. 6-8,13349,Berlin (Wedding),+49 30,,,,Odborná škola se speciální pedagogikou
11S07,Carl-von-Linné-Schule,Paul-Junius-Str. 15,10367,Berlin (Lichtenberg),+49 30 5050960,sekretariat@linne.schule.berlin.de,linne.schule,"Kast-Rützel, Kerstin",Odborná škola se speciální pedagogikou
