skz,name,street,zip,city,phone,email,website,principal,school_type
330127,"AWO Berufliche Schule für Sozialwesen ""Sophie Scholl"" anerkannte Ersatzschule",Alte Hauptstraße 24,14727,Premnitz,03386 2125480,s330127@schulen.brandenburg.de,,Herr Gentes,Soukromá odborná škola
120390,Albert-Schweitzer-Gymnasium,Diehloer Straße 66,15890,Eisenhüttenstadt,03364 43389,s120390@schulen.brandenburg.de,,Herr Budach,Gymnázium
120844,Alexander-von-Humboldt-Gymnasium,Werner-Seelenbinder-Straße 3,16225,Eberswalde,03334 250600,s120844@schulen.brandenburg.de,,Frau Radig,Gymnázium
121368,Amy-Johnson-Gymnasium,Pestalozzistraße 1,12529,Schönefeld,030 220293110,s121368@schulen.brandenburg.de,,Frau Günther,Gymnázium
121071,Barnim-Gymnasium Bernau - Waldfrieden,Hans-Wittwer-Straße 20,16321,Bernau bei Berlin,03338 70730,s121071@schulen.brandenburg.de,,Herr Juergens,Gymnázium
200888,"Bertha-von-Suttner-Fachoberschule, Private Fachober- schule - anerkannte Ersatzschule in den Fachrichtungen Sozialwesen u. Wirtschaft und Verw.",Berliner Straße 35-36,15537,Gosen-Neu Zittau,03362 889510,s200888@schulen.brandenburg.de,,Herr Kurbjuhn,Soukromá odborná škola
121307,Bertha-von-Suttner-Gymnasium Babelsberg,Kopernikusstraße 30,14482,Potsdam,0331 2898030,s121307@schulen.brandenburg.de,,Frau Thorak,Gymnázium
120250,Bertolt-Brecht-Gymnasium,Prignitzstraße 43,14770,Brandenburg an der Havel,03381 300314,s120250@schulen.brandenburg.de,,Frau Peter,Gymnázium
330218,Berufl. Schule f. Sozialwesen der HEC Lauchhammer FS f. Sozialwesen mit den anerk. FR Heilerz.pfl. und Sozialpäd. anerk. BFS f. Soziales,Hüttenstraße 1c,01979,Lauchhammer,03574 4646990,s330218@schulen.brandenburg.de,,Herr Wiedemann,Soukromá odborná škola
200621,"Berufliche Schule ""Paula Fürst"" der FAWZ gGmbH Berufsfachschule und Fachschule für Sozialwesen mit staatlich anerk. Bildungsgängen",Julius-Pintsch-Ring 27,15517,Fürstenwalde,03361 735829,s200621@schulen.brandenburg.de,,Frau Stahr,Soukromá odborná škola
200578,Berufliche Schule Angermünde,Puschkinallee 12,16278,Angermünde,03331 26050,s200578@schulen.brandenburg.de,,Herr Simon,Soukromá odborná škola
200591,Berufliche Schule Buckow Ersatzschule mit anerkannten Bildungsgängen der Berufsschule,Spreewaldstraße 20/22,16227,Eberswalde,03334 383544,s200591@schulen.brandenburg.de,,Herr Thomas Richter,Soukromá odborná škola
200566,Berufliche Schule Neuenhagen Ersatzschule mit anerkannten Bildungsgängen der Berufsschule,Ziegelstraße 16,15366,Neuenhagen bei Berlin,03342 253810,s200566@schulen.brandenburg.de,,Frau Henschel,Soukromá odborná škola
330267,Berufliche Schule Potsdam der ASG - Anerkannte Schulgesellschaft mbH - anerkannte Ersatzschule,Wetzlarer Straße 22,14482,Potsdam,0331 7047870,@,,Frau Klemp,Soukromá odborná škola
330164,Berufliche Schule der Arbeiterwohlfahrt AWO BV Brandenburg Süd e.V.,Alexander-von-Humboldt-Straße 43,03222,Lübbenau/Spreewald,03542 889712,s330164@schulen.brandenburg.de,,Herr Thorhauer,Soukromá odborná škola
200840,"Berufliche Schule der Bildungsgesellschaft mbH Pritzwalk - Ersatzschule m. anerk. u. geneh. Bildungsgängen der Berufsschule, anerkannte FS Sozialwesen FR Sozialpädagogik",An der Promenade 5,16928,Pritzwalk,03395 7644701,s200840@schulen.brandenburg.de,,Herr Schneider,Soukromá odborná škola
330097,"Berufliche Schule der Hoffnungstaler Stiftung Lobetal Fachschule Sozialwesen, Berufsfachschule Soziales anerkannte Ersatzschule",Bonhoefferweg 1,16321,Bernau bei Berlin/OT Lobetal,03338 66251,s330097@schulen.brandenburg.de,,Herr Reiche,Soukromá odborná škola
200876,Berufliche Schule für Hotellerie und Gastronomie des Ausbildungsverbunds Teltow e.V.,Oderstraße 57,14513,Teltow,03328 475120,s200876@schulen.brandenburg.de,,Herr Prögel,Soukromá odborná škola
330190,Berufliche Schule für Sozialwesen der DEB in Brandenburg gemeinnützige Schulträger-GmbH - anerkannte Ersatzschule -,Parzellenstraße 10,03046,Cottbus,0355 35541790,s330190@schulen.brandenburg.de,,Frau Gruhl,Soukromá odborná škola
330188,"Berufliche Schule für Sozialwesen, anerk. Fachschule für Sozialwesen, anerk. Berufsfachschule f. Soziales",Straße nach Fichtenwalde 16,14547,Beelitz,033204 21450,s330188@schulen.brandenburg.de,,Frau Buttenberg,Soukromá odborná škola
200864,Berufliche Schule für Sport und Gesundheit der Europäischen Sportakademie des Landes Brandenburg,Marlene-Dietrich-Allee 14,14482,Potsdam,0331 90757100,s200864@schulen.brandenburg.de,,Frau Kahnt,Soukromá odborná škola
200670,"Berufliche Schule für Sport und Soziales Lindow der ESAB gGmbH, BFS anerk. Berufsabschluss Sportassistent FS Sozialw.-FR Sozialpäd. anerkannt",Granseer Straße 10,16835,Lindow (Mark),033933 90238,s200670@schulen.brandenburg.de,,Frau Christiansen,Soukromá odborná škola
200542,Berufliche Schule für gastronomische Berufe,Buchholzer Weg 1,16775,Gransee/OT Seilershof,033085 70227,s200542@schulen.brandenburg.de,,Frau Köcher,Soukromá odborná škola
330073,Berufliche Schulen Hermannswerder anerkannte Berufsfachschule Soziales und anerkannte Fachschule für Sozialwesen der Hoffbauer gGmbH,Hermannswerder 10,14473,Potsdam,0331 2313150,s330073@schulen.brandenburg.de,,Frau Klopp,Soukromá odborná škola
200633,Berufliche Schulen Neuruppin der ASG - Anerkannten Schulgesellschaft mbH anerkannte Ersatzschule,Alt Ruppiner Allee 40,16816,Neuruppin,03391 402700,s200633@schulen.brandenburg.de,,Frau Volkmar,Soukromá odborná škola
200839,Berufsschule des Gemeinnützigen Berufsbildungsvereins Guben e.V. Ersatzschule mit anerkannten Bildungsgängen der Berufsschule,Berliner Straße 56,03046,Cottbus,0355 35554100,s200839@schulen.brandenburg.de,,Herr Riedel,Soukromá odborná škola
120674,Bohnstedt-Gymnasium Luckau,Rathausstraße 6/7,15926,Luckau,03544 3062,s120674@schulen.brandenburg.de,,Herr Guhra,Gymnázium
120984,Carl-Bechstein-Gymnasium Erkner,Neu Zittauer Straße 1-2,15537,Erkner,03362 3333,s120984@schulen.brandenburg.de,,Herr Sejnowsky,Gymnázium
120273,Carl-Friedrich-Gauß-Gymnasium,August-Bebel-Straße 26,16303,Schwedt/Oder,03332 22037,s120273@schulen.brandenburg.de,,Herr Seefeldt,Gymnázium
120509,Christa-und-Peter-Scherpf-Gymnasium,Dr.-Bähr-Straße 1,17291,Prenzlau,03984 2314,s120509@schulen.brandenburg.de,,Herr Melters,Gymnázium
121400,Clara Immerwahr Gymnasium Potsdam,Brunnenallee 4,14478,Potsdam,0331 2898560,s121400@schulen.brandenburg.de,,Herr Wagner (beauftr. LK),Gymnázium
121381,Dalton-Gymnasium Potsdam,Voltaireweg 8,14469,Potsdam,0331 2898530,@,,Frau Schubert,Gymnázium
200347,Eduard-Maurer-Oberstufenzentrum,Berliner Straße 78,16761,Hennigsdorf,03302 54690,s200347@schulen.brandenburg.de,,Herr Mohr,OSZ s odborným gymnáziem
120108,Einstein-Gymnasium,Heinrichstraße 7,16278,Angermünde,03331 26170,s120108@schulen.brandenburg.de,,Frau Dr. Hainich-Doepner,Gymnázium
120170,Einstein-Gymnasium Neuenhagen,Dahlwitzer Straße 79,15366,Neuenhagen bei Berlin,03342 692,s120170@schulen.brandenburg.de,,Herr Hofschulz,Gymnázium
120868,Einstein-Gymnasium Potsdam,Hegelallee 30,14467,Potsdam,0331 2897900,s120868@schulen.brandenburg.de,,Herr Wienert,Gymnázium
120340,Elsterschloss-Gymnasium,Schlossplatz 1a,04910,Elsterwerda,03533 2026,s120340@schulen.brandenburg.de,,Frau Lewandowski,Gymnázium
120560,Ernst-Haeckel-Gymnasium,Kesselgrundstraße 62-68,14542,Werder (Havel),03327 663430,s120560@schulen.brandenburg.de,,Herr Erdmann,Gymnázium
