skz,name,street,zip,city,phone,email,website,principal,school_type
60272,"Andreas-Gordon-Schule Erfurt Staatliche Berufsbildende Schule 4, -Ausbildungsschule-",Weidengasse 8,99084,Erfurt,+49 361 6 57 84 00,info@ags-erfurt.de,https://www.ags-erfurt.de,,Odborná škola
50060,Bergschule Apolda Staatliches Gymnasium,Dr.-Theodor-Neubauer-Straße 10a,99510,Apolda,0 36 44/516350,gym-apolda@schulen.weimarerland.de,http://www.bergschule-apolda.de,,Gymnázium
78013,"Bergschule St. Elisabeth Staatlich anerkanntes katholisches Gymnasium, Europaschule",Friedensplatz 5/ 6,37308,Heilbad Heiligenstadt,03606/673402,Sekretariat@bergschule-heiligenstadt.de,http://www.bergschule-heiligenstadt.de,,Gymnázium
60287,Berufsbildende Schule der apm Süd GmbH,Anger 30,99084,Erfurt,036165365560,diana.szantai@apm.de,,,Odborná škola
63829,Berufsbildende Schulen St. Elisabeth des Caritasverbandes für das Bistum Erfurt e.V.,Mittelhäuser Straße 76/77,99089,Erfurt,0361/4219534,schulen-erfurt@caritas-bistum-erfurt.de,http://www.caritas-bbs-erfurt.de,,Odborná škola
64493,"Berufsfachschule für Arzthelferinnen des Innova Sozialwerkes e.V., Höhere Berufsfachschule für Altenpflege des Innova Sozialwerkes e.V.",Zschernitzscher Straße 13,04600,Altenburg,03447/85180,m.rosner@innova-sozialwerk.de,,,Odborná škola
61756,Berufsschulcampus Unstrut-Hainich,Sondershäuser Landstraße 39,99974,Mühlhausen,03601/450-0,leitung@bsc-uh.de,http://www.bsc-uh.de,,Odborná škola
64657,"Bildungswerk für Gesundheitsberufe e.V. Erfurt, Höhere Berufsfachschule und Berufsfachschule",Am Kühlhaus 27,99085,Erfurt,0361/7313537,kontakt@bw-gesundheitsberufe.de,,,Odborná škola
64597,Bildungszentrum für medizinische Heilhilfsberufe GmbH,Hainstraße 21,07545,Gera,0365 7737110,info@bmh-online.de,http://www.bmh-online.de,,Odborná škola
65288,Bildungszentrum Handel/Gewerbe/Freie Berufe e.V. Berufsbildende Schule,Bei der Breitsülze 1,99974,Mühlhausen,03601/401549,information@bz-muehlhausen.de,,,Odborná škola
51304,"Carl-Zeiss-Gymnasium Jena, Staatliches Gymnasium mit math.-nw. Spezialklassen",Erich-Kuithan-Straße 7,07743,Jena,+49 (0) 3641 310 303 0,sekretariat@cz-gymnasium.jena.de,,,Gymnázium
78207,Christliches Spalatin-Gymnasium Altenburg,Schulstraße 7,04600,Altenburg,03447/890858,info@spalatin-gymnasium.de,http://www.spalatin-gymnasium.de,,Gymnázium
64207,CJD Christophorusschule Gera - Förderberufsschule,Am Ferberturm 72,07546,Gera,0365/4354711,schule-gera@cjd.de,http://www.cjd-bbw-gera.de,,Odborná škola
50297,Arnoldischule Gotha Staatliches Gymnasium,Eisenacher Straße 5,99867,Gotha,03621/757000,sekretariat@gym-arnoldischule-gotha.de,http://www.arnoldi-gym.de,,Gymnázium
78060,"Edith-Stein-Schule, Staatlich anerkanntes katholisches Gymnasium",Trommsdorffstraße 26,99084,Erfurt,0361/576890,schulleitung@ess-erfurt.de,http://www.ess-erfurt.de,,Gymnázium
64150,"Eichsfeld Klinikum gGmbH, Bildungsinstitut - Berufsbildende Schule",Windische Gasse 112,37308,Heilbad Heiligenstadt,03606/761207,bildung@eichsfeld-klinikum.de,http://www.eichsfeld-klinikum.de/bildung,,Odborná škola
50180,Elisabeth-Gymnasium Eisenach Staatliches Gymnasium,Nebestraße 24,99817,Eisenach,03691/890074,eligym-sek@eisenach.schule,http://www.eligym.de,,Gymnázium
50300,Ernestinum Gotha Staatliches Gymnasium,Bergallee 8,99867,Gotha,03621/408033,sekretariat@gym-ernestinum-gotha.de,http://www.ernestinum-gotha.de,,Gymnázium
60256,"Ernst-Benary-Schule, Staatliche Berufsbildende Schule 5 Erfurt, Schule für Agrarwirtschaft, Ernährung/Hauswirtschaft, Körperpflege",Langer Graben 82,99092,Erfurt,0361/220250,info@ebs-erfurt.de,http://www.ebs-erfurt.de,,Odborná škola
64330,"Euro Akademie Erfurt, Euro Schulen gGmbH",Juri-Gagarin-Ring 90,99084,Erfurt,0361/ 302547-13,erfurt@euroakademie.de,http://www.euroakademie.de,,Odborná škola
64327,"Euro Akademie Gera, Berufsbildende Ersatzschule",Beethovenstraße 17,07548,Gera,0365 7733633,gera@euroakademie.de,,,Odborná škola
64943,"Euro Akademie Jena, Berufliche Ersatzschule",Göschwitzer Straße 22,07745,Jena,03641 387545,jena@euroakademie.de,www.euroakademie.de,,Odborná škola
64404,"Euro Akademie Pößneck, Berufsbildende Ersatzschule",Carl-Gustav-Vogel-Straße 13,07381,Pößneck,03647 5055210,poessneck@euroakademie.de,,,Odborná škola
64540,Euro-Schulen Altenburg Höhere Berufsfachschule für Diätik und Berufsfachschule für Kinderpflege,Münsaer Straße 33,04600,Altenburg,03447/310630,info@es.altenburg.eso.de,,,Odborná škola
64240,Evangelische Pflegeschule am Sophien- und Hufeland-Klinikum Weimar,Henry-van-de-Velde-Straße 2,99425,Weimar,03643/ 572084,pflegeschule@klinikum-weimar.de,,,Odborná škola
63772,"Evangelische Schule für soziale Berufe Eisenach, DBI - Diakonisches Bildungsinstitut Johannes Falk gGmbH",Ernst-Thälmann-Straße 90,99817,Eisenach,3691810201,info@dbi-falk.de,http://www.dbi-falk.de,,Odborná škola
78420,Evangelisches Gymnasium Meiningen,Berliner Straße 27,98617,Meiningen,03693/8806345,post@evg-meiningen.de,http://www.evg-meiningen.de,,Gymnázium
78253,Evangelisches Gymnasium Mühlhausen,Friedensstraße 16,99974,Mühlhausen,03601/406920,gymnasium@evsz.de,http://evsz.schulwerk-cms.de/Gymnasium/,,Gymnázium
78057,"Evangelisches Ratsgymnasium Erfurt, Staatl. anerkanntes Gymnasium in Trägerschaft der Ev. Schulstiftung in Mitteldeutschland St.Johannes",Meister-Eckehart-Straße 1,99084,Erfurt,0361/6011930,sekretariat@evrg-erfurt.de,,,Gymnázium
65231,"Fachschule für Gesundheitsfachberufe Bad Salzungen gGmbH, HBFS für Gesundheits- und Krankenpflege",Langenfelder Straße 8,36433,Bad Salzungen,03695/6091900,info@fachschule-badsalzungen.de,,,Odborná škola
65291,"Förderberufsschule der KAB gGmbH, Förderschwerpunkte Lernen und Emotionale und soziale Entwicklung",Feldstraße 43,99974,Mühlhausen,03601 88866416,foerderberufsschule@kab-thueringen.de,,,Odborná škola
64733,Förderberufsschule des Obereichsfelder Bildungswerks e.V.,Hertzstraße 41,37327,Leinefelde-Worbis,03605/580241,info@oebw-ev.de,http://www.oebw-ev.de,,Odborná škola
64298,Freie berufliche Schule für Pädagogik und Pflege Mellenbach-Glasbach,Karl-Marx-Straße 21,98744,Schwarzatal,036705 20921,bs-mellenbach-glasbach@ibkm-schulen.de,www.ibkm-schulen.de,,Odborná škola
64780,Freie Berufsbildende Schule Adolph Kolping im Kolping-Bildungswerk Thüringen e.V.,Wermutmühlenweg 11,99089,Erfurt,0361/730680,info@kbw-th.de,,,Odborná škola
64957,"Freie berufsbildende Schule Jena, Staatlich genehmigte Ersatzschule",Emil-Wölk-Straße 11,07747,Jena,03641-4738855,post.fbs-jena@tsapost.de,http://www.fbs-jena.de/,,Odborná škola
78403,Freie Ganztagsschule Milda Gymnasiale Oberstufe,Dorfstraße 92,07751,Milda,036422/63503,fg-milda@t-online.de,http://www.ganztagsschulemilda.de,,Gymnázium
78480,"Freie Reformschule ""Franz von Assisi"", Gymnasiale Oberstufe",Humboldtstraße 2,98693,Ilmenau,03677-689780,sekretariat@assisi-schule.de,http://www.assisi-schule.de,,Gymnázium
50014,Friedrichgymnasium Altenburg Staatliches Gymnasium,Geraer Straße 33,04600,Altenburg,03447/2616,sekretariat@fgymabg.de,,,Gymnázium
51321,"Friedrich-König-Gymnasium Suhl, Staatliches Gymnasium",Friedensstraße 1,98527,Suhl,03681/724321,sekretariat@gymnasium-suhl.de,http://www.eulegym.de,,Gymnázium
50210,Friedrich-Schiller-Gymnasium Eisenberg Staatliches Gymnasium,Schillerstraße 1,07607,Eisenberg,036691 42525,gym.eisenberg@sv.lrashk.de,,,Gymnázium
51364,Friedrich-Schiller-Gymnasium Weimar Staatliches Gymnasium,Thomas-Mann-Straße 2,99423,Weimar,03643/851610,fsg-weimar@gmx.de,http://www.schiller-gymnasium-weimar.de,,Gymnázium
64952,"GAW-Institut für berufliche Bildung gGmbH, Staatlich genehmigte Höhere Berufsfachschule für Pflegeberufe",Keßlerstraße 27,07745,Jena,03641/2327840,jena@gaw.de,,,Odborná škola
50267,Georg-Samuel-Dörffel-Gymnasium Staatliches Gymnasium Weida,Ernst-Thälmann-Straße 23,07570,Weida,036603/62272,gym.weida@schulen-greiz.de,http://www.doerffelgymnasium.de,,Gymnázium
64477,GoBi gGmbH Private Medizinische Berufsfachschule,Bürgeraue 2,99867,Gotha,03621/423112,schule@gobi-gotha.de,http://www.gobi-gotha.de,,Odborná škola
50447,"Goetheschule Ilmenau Staatliches Gymnasium, mit mat.-nw. Spezialklassen",Herderstraße 44,98693,Ilmenau,03677/67531,sk.haus1@gym-goethe-ilmenau.de,http://www.goetheschule-ilmenau.de,,Gymnázium
51051,Gottfried-Wilhelm-Leibniz-Gymnasium Staatliches Gymnasium Leinefelde,Leibnizplatz 1,37327,Leinefelde-Worbis,03605/513483,schulleitung@gymnasium-leinefelde.de,,,Gymnázium
65035,"Grone Gesundheitsakademie Thüringen - gemeinnützig, Berufsfachschule und Höhere Berufsfachschule",Otto-Schott-Straße 2,99427,Weimar,36434 - 80060,Gesundheitsakademie@grone.de,,,Odborná škola
63773,"Diakonisches Bildungsinstitut Johannes Falk gGmbH, Staatlich anerkannte berufsbildende Ersatzschule",Otto-Krebs-Weg 5a,99428,Weimar,(0 36 43) 49 64 30,k.mueller-bangert@dbi-falk.de,,,Odborná škola
50990,"Heinrich-Ehrhardt-Gymnasium, Staatliches Gymnasium",Alte Straße 69,98544,Zella-Mehlis,03682/482036,info@gymnasium-zella-mehlis.de,https://heg-zm.edupage.org,,Gymnázium
51155,Heinrich-Hertz-Gymnasium Erfurt Staatliches Gymnasium,Alfred-Delp-Ring 41,99087,Erfurt,0361/7911552,heinrich-hertz-gymnasium@erfurt.de,http://www.hhg-erfurt.de,,Gymnázium
52026,"Heinrich-Mann-Gymnasium Erfurt Staatliches Gymnasium ""Zur Himmelspforte""",Gustav-Freytag-Straße 65,99096,Erfurt,0361/3735366,heinrich-mann-gymnasium@erfurt.de,http://www.hmg-erfurt.de,,Gymnázium
50526,"Henfling-Gymnasium Meiningen, Staatliches Gymnasium",Moritz-Seebeck-Allee 1,98617,Meiningen,(0 36 93) 8 46 10,leitung@henfling-gymnasium.de,http://www.henfling-gymnasium.de,,Gymnázium
50987,Hennebergisches Gymnasium Georg Ernst Schleusingen Staatliches Gymnasium,Klosterstraße 2-4,98553,Schleusingen,0049 3685 679 1200,sekretariat@gym-schleusingen.de,http://www.gym-schleusingen.de,,Gymnázium
50657,"Herder-Gymnasium Nordhausen, Staatliches Gymnasium",Wiedigsburg 7/8,99734,Nordhausen,03631/46809-0,Schulleitung@Herder-Gymnasium.de,http://www.Herder-Gymnasium.de,,Gymnázium
