skz,name,street,zip,city,phone,email,website,principal,school_type
22477,"""ABOR"" PRYWATNE LICEUM OGÓLNOKSZTAŁCĄCE WE WROCŁAWIU",ul. Pabianicka 2,53-339,Wrocław-Krzyki,713670246,liceum@abor.com.pl,www.liceum.abor.com.pl,ANNA MAKOWSKA,Gymnázium
23854,"""STRUMIENIE"" LICEUM OGÓLNOKSZTAŁCĄCE STOWARZYSZENIA STERNIK",ul. 3 Maja 129,05-420,Józefów,223980810,szkola.strumienie@sternik.edu.pl,www.sternik.edu.pl,EWA KORBA,Gymnázium
277640,"""ALELICEUM"" LICEUM OGÓLNOKSZTAŁCĄCE W ŁODZI",ul. Rewolucji 1905 r. 65,90-221,Łódź-Śródmieście,727470080,dyrektor.lodz@akademickielo.pl,https://lodz.medyczneliceum.pl/index.php/pl/,MAŁGORZATA DRZEWIECKA,Gymnázium
27005,2 SPOŁECZNE LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI MIĘDZYNARODOWYMI IM. PAWŁA JASIENICY SPOŁECZNEGO TOWARZYSTWA OŚWIATOWEGO,ul. Nowowiejska 5,00-643,Śródmieście,0228251199,info@2slo.waw.pl,,ANNA SOBALA-ZBROSZCZYK,Gymnázium
478656,AKADEMIA ŚW. STANISŁAWA PAPCZYŃSKIEGO-LICEUM OGÓLNOKSZTAŁCĄCE W GÓRZE KALWARII,ul. Rybie 4,05-530,Góra Kalwaria,693760347,biuro@assp.edu.pl,assp.edu.pl,JUDYTA MACHNICKA-MDOMA,Gymnázium
17801,AKADEMIA-LICEUM OGÓLNOKSZTAŁCĄCE DLA MŁODZIEŻY W ŁODZI,ul. Jana Kilińskiego 21,90-205,Łódź-Śródmieście,422557700,lodz@akademia-zdrowia.pl,,KAROLINA KOWALSKA,Gymnázium
133322,AKADEMIA-LICEUM OGÓLNOKSZTAŁCĄCE DLA MŁODZIEŻY W WARSZAWIE,ul. Jana Kazimierza 45,01-248,Wola,228622960,warszawa@akademia-zdrowia.pl,, ,Gymnázium
17802,AKADEMIA-TECHNIKUM DLA MŁODZIEŻY W ŁODZI,ul. Jana Kilińskiego 21,90-205,Łódź-Śródmieście,422557700,lodz@akademia-zdrowia.pl,,KAROLINA KOWALSKA,Střední odborná škola (technická)
133323,AKADEMIA-TECHNIKUM DLA MŁODZIEŻY W WARSZAWIE,ul. Jana Kazimierza 45,01-248,Wola,228622960,warszawa@akademia-zdrowia.pl,, ,Střední odborná škola (technická)
264056,AKADEMICKI ZESPÓŁ PLACÓWEK OŚWIATOWYCH - LICEUM OGÓLNOKSZTAŁCĄCE W FIJEWIE,85,14-260,Fijewo,575141005,akademickizespol@gmail.com,www.szkolalubawa.pl, ,Gymnázium
272838,AKADEMICKIE DWUJĘZYCZNE LICEUM OXFORD SECONDARY SCHOOL,ul. Krakowska 30,43-300,Bielsko-Biała,506998829,sekretariat@oxfordsecondary.pl,oxfordsecondary.pl,AGNIESZKA STRZELECKA,Gymnázium
133300,AKADEMICKIE LICEUM MISTRZOSTWA SPORTOWEGO W GORZOWIE WIELKOPOLSKIM,ul. Fryderyka Chopina 52,66-400,Gorzów Wielkopolski,957216007,sekretariat.alms@ajp.edu.pl,www.alms.ajp.edu.pl,MARTA WAWRZYNIAK,Gymnázium
113811,AKADEMICKIE LICEUM MISTRZOSTWA SPORTOWEGO W LUBLINIE,ul. Projektowa 4,20-209,Lublin,817493235,alms@wsei.lublin.pl,www.alms.wsei.lublin.pl,MAŁGORZATA BANACH,Gymnázium
128590,AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE,ul. Wileńska 53/55,94-011,Łódź-Polesie,422014925,liceum@akademickielo.com.pl,www.akademickielo.com.pl,EDWARD KUJAWA,Gymnázium
269897,AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE,ul. Karmelicka 10,00-163,Śródmieście,727500190,liceum@wszechnicapolska.pl,, ,Gymnázium
272783,AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE,ul. Miła 2,00-180,Śródmieście,537438330,dyrektor.warszawa@akademickielo.pl,, ,Gymnázium
279363,AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE,ul. Młodzieżowa 29,87-100,Toruń,727602244,sekretariat@torun.medyczneliceum.pl,medyczneliceum.pl,ANNA HUSSEIN,Gymnázium
5447,AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE,ul. Chmielniki 2a,86-100,Świecie,523330270,akademickielo@wp.pl,www.akademickielo.wsjo.edu.pl,RYSZARD PŁOSKI,Gymnázium
81659,AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE,al. Aleja Stanów Zjednoczonych 24,03-964,Praga-Południe,226725966,,, ,Gymnázium
40870,AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE,ul. Szosa Ciechanowska 6,06-300,Przasnysz,297524342,kontakt@ult.edu.pl,http://przasnysz.akademickieliceum.edu.pl,ELŻBIETA STERNAL,Gymnázium
129344,"AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE ""EMMANUEL""",os. Osiedle Urocze 14,31-954,Kraków-Nowa Huta,123070612,liceum@edukacjaemmanuel.org,edukacjaemmanuel.org,Andrzej Witek,Gymnázium
43407,"AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE ""LINGWISTA"" IM. HYMNU NARODOWEGO",ul. Gdyńskich Kosynierów 11,80-866,Gdańsk,583000605,alo@oswiatalingwista.eu,akademickieliceum.eu,ANNA PANCER,Gymnázium
272798,"AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE ""POMERANIA""",ul. Świętopełka 10,89-600,Chojnice,523342887,dorota@pomeraniachojnice.edu.pl,www.pomeraniachojnice.edu.pl,KRZYSZTOF BODZIŃSKI,Gymnázium
57154,AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE DLA MŁODZIEŻY W GDAŃSKU,al. Legionów 13A,80-444,Gdańsk,583520578,sekretariat@magellanum.edu.pl,magellanum.edu.pl,ADAM FOTEK,Gymnázium
31134,AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE MENEDŻERSKIEJ AKADEMII NAUK STOSOWANYCH W WARSZAWIE,ul. Kawęczyńska 36,03-772,Praga-Północ,228188302,akademickieliceum@mans.org.pl,https://liceum.mans.org.pl/,MAREK DROZDOWSKI,Gymnázium
21324,AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE MIĘDZYNARODOWEJ AKADEMII NAUK STOSOWANYCH W ŁOMŻY,ul. Studencka 19,18-402,Łomża,862150249,asp@mans.edu.pl,http://zsa.mans.edu.pl/,BARBARA TUREK,Gymnázium
130843,AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE MILENIUM,ul. Leopolda Okulickiego 3A,62-200,Gniezno,614245007,liceum@milenium.edu.pl,milenium.edu.pl,IWONA GAWRECKA,Gymnázium
105381,"AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE MISTRZOSTWA SPORTOWEGO NR 1 IM."" OBROŃCÓW WISŁY 1920 ROKU"" WE WŁOCŁAWKU",ul. Stefana Okrzei 94A,87-800,Włocławek,542315200,sekretariat@zsa.wloclawek.pl,zsa.wloclawek.pl, ,Gymnázium
106383,"AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE NR 1 IM. ""OBROŃCÓW WISŁY 1920 ROKU"" WE WŁOCŁAWKU",ul. Stefana Okrzei 94 i 94A,87-800,Włocławek,542315200,sekretariat@zsa.wloclawek.pl,zsa.wloclawek.pl, ,Gymnázium
479358,AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE NURT,ul. Fryderyka Pautscha 9,51-651,Wrocław-Śródmieście,514292111,sekretariat@nurt.edu.pl,www.nurt.edu.pl, ,Gymnázium
128837,AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE POLITECHNIKI BIAŁOSTOCKIEJ,ul. Wiejska 45A,15-351,Białystok,857467131,liceum@pb.edu.pl,www.pb.edu.pl,KATARZYNA WISZOWATA-WALCZAK,Gymnázium
264745,AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE POLITECHNIKI ŚLĄSKIEJ,ul. ks. Marcina Strzody 10,44-100,Gliwice,324003075,alogliwice@polsl.pl,alogliwice.polsl.pl,MAŁGORZATA BORYSŁAWSKA,Gymnázium
27999,21 SPOŁECZNE LICEUM OGÓLNOKSZTAŁCĄCE IM. JERZEGO GROTOWSKIEGO,al. Aleja Jana Pawła II 36c,00-141,Śródmieście,226543535,21slo@21slo.edu.pl,www.21slo.edu.pl,WŁODZIMIERZ TABORYSKI,Gymnázium
121553,AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE POLITECHNIKI WROCŁAWSKIEJ,wyb. Stanisława Wyspiańskiego 23-25,50-370,Wrocław-Śródmieście,713204778,sekretariat@alo.pwr.edu.pl,www.liceum.pwr.edu.pl,ANITA SKRZYNIARZ,Gymnázium
46869,AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE PRZY AKADEMII MAZOWIECKIEJ W PŁOCKU,ul. Tadeusza Kościuszki 20,09-402,Płock,243665412,liceum@aloplock.edu.pl,www.aloplock.edu.pl,MICHAŁ WOLIŃSKI,Gymnázium
79804,AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE PRZY PJATK,ul. Szczęśliwicka 33a,02-353,Ochota,224085352,liceum@pja.edu.pl,www.liceum.pja.edu.pl,KATARZYNA PIÓRKOWSKA,Gymnázium
482962,AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE PRZY WROCŁAWSKIEJ AKADEMII BIZNESU W NAUKACH STOSOWANYCH,ul. Aleksandra Ostrowskiego 22,53-238,Wrocław-Fabryczna,713331102,rektorat@wab.edu.pl,, ,Gymnázium
125817,AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE PRZY WYŻSZEJ SZKOLE INŻYNIERII GOSPODARKI,ul. Bałtycka 29,76-200,Słupsk,598433817,liceum@wsig-slupsk.pl,,LECH RAŚ,Gymnázium
480320,AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE STERNIK POZNAŃ,pl. Wiosny Ludów 2,61-831,Poznań-Stare Miasto,882574630,kamil.frackowiak@sternikpoznan.edu.pl,,KAMIL FRĄCKOWIAK,Gymnázium
78212,AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE W BIAŁEJ PODLASKIEJ,ul. Sidorska 95/97,21-500,Biała Podlaska,833449939,alo.bp@akademiabialska.pl,https://www.alo.akademiabialska.pl,ELŻBIETA ZAREMBA,Gymnázium
266625,AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE W BYDGOSZCZY,ul. Fordońska 120,85-739,Bydgoszcz,695390190,dyrektor.bydgoszcz@akademickielo.pl,www.skk.pl,MARTA MŁODAWSKA,Gymnázium
270196,AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE W DĄBROWIE GÓRNICZEJ,ul. Kościelna 6,41-303,Dąbrowa Górnicza,607197130,alo@wsps.pl,alo.wsps.pl,ELŻBIETA GODYŃ,Gymnázium
3964,AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE W LEGNICY,ul. Sejmowa 5A,59-220,Legnica,767232912,alo@wa.legnica.edu.pl,www.alo.legnica.edu.pl,AGNIESZKA KUCHA-KIEDEL,Gymnázium
133386,AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE W TERESPOLU,ul. Wojska Polskiego 88,21-550,Terespol,833752004,zso.terespol@wp.pl,,AGNIESZKA KULICKA,Gymnázium
272640,AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE WSHIU,ul. 28 Czerwca 1956 r. 217,61-485,Poznań-Wilda,618434795,rekrutacja@liceumwshiu.pl,liceumwshiu.pl,EWA KRĄKOWSKA,Gymnázium
26629,AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. KRÓLA BOLESŁAWA CHROBREGO W NOWYM SĄCZU,ul. Jagiellońska 63,33-300,Nowy Sącz,184423106,sekretariat@akademickie.eu,akademickie.eu, ,Gymnázium
132829,AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. PROF. ZBIGNIEWA RELIGI W KUTNIE,ul. Józefów 9,99-300,Kutno,243898020,liceum@polfarmex.pl,www.liceum.polfarmex.pl,Anna Pietrzak,Gymnázium
110132,AKADEMICKIE MEDYCZNE LICEUM OGÓLNOKSZTAŁCĄCE W BIAŁYMSTOKU,ul. Krakowska 9,15-875,Białystok,857499446,biuro@wsmed.pl,,Joanna Sznurkowska,Gymnázium
34831,AKADEMICKIE TECHNIKUM MIĘDZYNARODOWEJ AKADEMII NAUK STOSOWANYCH W ŁOMŻY,ul. Studencka 19,18-400,Łomża,862150249,asp@mans.edu.pl,http://zsa.mans.edu.pl/,BARBARA TUREK,Střední odborná škola (technická)
129915,"AKADEMICKIE TECHNIKUM WOJSKOWE IM. ""OBROŃCÓW WISŁY 1920 ROKU"" WE WŁOCŁAWKU",ul. Stefana Okrzei 94a,87-800,Włocławek,542315200,sekretariat@zsa.wloclawek.pl,zsa.wloclawek.pl, ,Střední odborná škola (technická)
106546,AKSA LICEUM OGÓLNOKSZTAŁCĄCE W OLSZTYNIE,ul. św. Wojciecha 3/3a,10-041,Olsztyn,504535896,sekretariat@akademickieszkoly.pl,www.akademickieszkoly.pl, ,Gymnázium
103857,ALTERNATYWNE LICEUM OGÓLNOKSZTAŁCĄCE W KŁODZKU,ul. Łużycka 8,57-300,Kłodzko,748672228,zsa.klodzko@wp.pl,www.zsa.klodzko.pl, ,Gymnázium
88401,AS-LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH,ul. Żuromińska 4,03-341,Targówek,221100099,dariusz.myszkowski@aschools.pl,,DARIUSZ MYSZKOWSKI,Gymnázium
